[160451 to 9187]: ，-5753  的-5492  。-5744  在-5107  有-4067  是-3750  及-3258  他-3103  我-2310  以-3858
[6 to 6]: 高路斯-6  拚命-6  位處-6  群芳-6  核對-6  接令-6  細風-6  市集-6  傷退-6  參加台-6
[5 to 5]: 麥堅-9  禁令-9  貨幣-9  擊球手-9  組凱-9  特朗普-9  食乜-9  帶乜-9  無益-9  王敏-9
[5 to 5]: 大坂直美-6  顏值-6  木頭-6  長長的-6  山水-6  天光-6  證件-6  華盛-6  磯銀河-6  彭子晴-6
[5 to 5]: 談樂軒-5  正午-5  人情味-5  見記者-5  後心-5  江忞懿-5  陳健樂-5  員過-5  斜傳-5  隨手-5
[5 to 5]: 後買-5  僅成-5  軍球-5  完咗-5  寫過-5  動怒-5  外隊-5  賽發-5  與眾-5  往事-5
[5 to 5]: 飆記-5  超球員-5  隊發-5  個獎項-5  後防線-5  採局-5  盧均-5  運動與-5  伊度-5  亞度-5
[4 to 4]: 紫外線-6  白天-6  避難-6  第八年-6  組歲-6  泰圭-6  全國冠軍-6  會人-6  米左右-6  藪-6
[4 to 4]: 陳思涵-5  績桿-5  勝夢-5  古人-5  打掃-5  讓哥-5  塞軍-5  推文-5  尼克隊-5  逼入-5
[4 to 4]: 牽手-4  報以-4  壘跑者-4  球沒-4  過克羅-4  較穩-4  閃電俠-4  清奈-4  柏柏斯達夫-4  普路斯-4
[4 to 4]: 亞運與-4  輸人-4  必先利其器-4  睇住-4  減到-4  嘅朋友-4  則贏-4  大得多-4  請先-4  體狀況-4
[4 to 4]: 重重困難-4  與海-4  支小-4  導指-4  軍時-4  腳傳-4  多下-4  響情緒-4  女壁-4  體決-4
[4 to 4]: 淡然-4  戰韓-4  級球手-4  輕球手-4  除名-4  場掃-4  第及名-4  場裡-4  束-4  喺面-4
[4 to 4]: 捐給-4  寺廟-4  富豪-4  入選港隊-4  結時-4  嘅路-4  個冠軍-4  據德國-4  現次-4  請到-4
[3 to 3]: 為富邦-5  組人-5  夏比臣-5  陳將双-5  世界足壇-5  禾歌-5  羽協-5  跑法-5  秀賽-5  拳腳-5
[3 to 3]: 務後-4  場佐敦軒-4  林曦-4  咩係-4  意料之中-4  嚇死-4  寶寶-4  我地-4  蜷腹-4  艾維斯-4
[3 to 3]: 季無-3  國克羅-3  年盟-3  年成立-3  防守力-3  輸送-3  國開-3  漏頂-3  大包-3  控定-3
[3 to 3]: 琹與-3  梓峻-3  從錯誤-3  為頂-3  莫大裨益-3  承傳-3  人生路-3  一炮而紅-3  炙手可熱-3  讓歲-3
[3 to 3]: 該記-3  內球-3  與與-3  毀掉-3  金毛-3  盃卻-3  經夠-3  冠軍相-3  總獎牌-3  一數-3
[3 to 3]: 級聯-3  主為-3  拖累-3  連掃-3  一同站-3  這個時-3  過剛-3  法對-3  圍後-3  員興-3
[3 to 3]: 考文-3  不太可能-3  生產商-3  嘩眾-3  取寵-3  廠-3  商為-3  員採-3  家也不妨-3  會伴-3
[3 to 3]: 時談-3  為個別-3  質團練-3  櫃補給-3  下架-3  紮根-3  返家-3  投布魯斯-3  於接下來-3  過葉-3
[3 to 3]: 項受-3  賄合-3  堅稱-3  預備組-3  去年來-3  免於-3  骨頭-3  屍體-3  舉步維艱-3  沒出-3
[3 to 3]: 下續-3  奇裝異服-3  蘭法-3  國德國-3  為話題-3  賽港-3  後於年-3  兩秒-3  私事-3  於事-3
[3 to 3]: 推祟-3  廢-3  義肢-3  兩肢-3  賽季後-3  過僅-3  慣性-3  空穴來風-3  徽章-3  於甲-3

