[761043 to 28204]: ，-30701  。-30719  的-27886  在-24859  有-20993  及-19927  是-16034  他-11456  和-11998  不-11973
[3 to 3]: 終較-3  軟身-3  焦油-3  正審-3  自行尋-3  對婦-3  大有裨益-3  硬頸-3  大學開-3  駕駛路-3
[3 to 3]: 自願地-3  承認未有-3  有理有節-3  自行設計-3  窮凶-3  極惡-3  去日-3  見官-3  別關-3  係見-3
[3 to 3]: 獲控方-3  淌血-3  漲潮-3  手牽手-3  傻嘅-3  政治信仰-3  岐-3  連天-3  倉皇-3  這無法-3

[30719 to 11973]: 。-295641  ，-761043  的-274644  在-95967  有-66708  及-56259  是-55562  表示-27023  被-28204  和-30418
[310 to 309]: 拍-431  對外-382  副教授-371  趕-345  違規-449  販毒-441  引入-421  提早-414  全世界-403  索取-380
[148 to 147]: 途徑-172  便宜-170  舉動-168  來看-167  對這-167  有權-166  在於-156  依次-156  花蓮-458  護照-296
[91 to 91]: 島-120  加裝-118  長柯文-117  派遣-114  轉換-114  真係-114  昔日-113  發燒-113  提防-113  成因-113
[63 to 63]: 落敗-75  絕非-75  得益-74  偵測-74  時至-73  所長-73  開業-73  回程-73  傳聞-73  珠三角-72
[48 to 48]: 突顯-51  月前-51  穩固-51  維生-51  狙擊-51  耐心-51  之列-51  開會討論-50  有此-50  這篇-50
[38 to 38]: 落客-51  區重案-50  彩色-50  血漬-50  韓總-50  改組-50  共同體-50  大氣-50  被扣-50  新聞界-50
[31 to 31]: 唔識-43  不在乎-43  邪惡-42  交棒-42  快捷-42  窩打-42  窗邊-42  土-42  松山-42  黃家-42
[26 to 26]: 掛號-35  金色-35  妻女-35  常規-35  進行性-35  散佈-35  四星期-34  盤查-34  撤控-34  受控-34
[22 to 22]: 打樁-45  架次-44  周永康-44  會圖片-44  取自-44  票選-44  愉景-44  光碟-44  郭顯熙攝-44  教員-44
[20 to 20]: 野-20  為委-20  總金-20  熟睡-20  於與-20  許發生-20  滯後-20  業於-20  內為-20  小額-20
[17 to 17]: 謙卑-25  吃掉-25  四米-25  中國崛起-25  荃灣站-24  長級-24  代表署-24  寂寞-24  兩支-24  面孔-24
[15 to 15]: 畢業典禮-32  高屏-32  汶-32  諮商-32  魯-31  破元-31  黃浩-31  文錦渡-31  燈泡-31  第級-31
[14 to 14]: 沈重-16  高票-16  兩輪-16  討論沙-16  四家-16  採光-16  政口號-16  水利-16  機兩部-16  黨內部-16
[13 to 13]: 五年級-13  奮戰-13  噴灑-13  需承擔-13  豐碩-13  無阻-13  多本-13  級為-13  力撐-13  在生活中-13
[12 to 12]: 北河街-12  剛於-12  雖為-12  前會-12  為次-12  須付-12  緝犯-12  從機-12  實當-12  開庭時-12
[11 to 11]: 告時-11  發力-11  澳新-11  飲食習慣-11  過委-11  師稱-11  團隊會-11  待進-11  告黃-11  為服-11
[10 to 10]: 難講-11  播處-11  場尋-11  兩岸三地-11  密不可分-11  官陳-11  而論-11  龍翔-11  出局-11  犯為-11
[9 to 9]: 人臉-11  書裡-11  整批-11  陸對台-11  客座講學-11  郭官指-11  話為主-11  吼-11  繞路-11  九十一-11
[8 to 8]: 困人-25  陳師-25  成癮-25  覺梭-25  猖狂-25  精油-24  草原-24  海砂-24  盜版-24  瀞瑩-23
[8 to 8]: 供認-9  談判後-9  東涌市-9  高成數-9  典籍-9  怒-9  拋開-9  殺無赦-9  不敗-9  悲慟-9
[7 to 7]: 安比-17  意外率-17  機主-17  銹-17  雙普會-17  心室-17  稅前-17  美田-17  直通巴-17  儲水量-17
[7 to 7]: 增開-8  駛進-8  有助台-8  新廠-8  交律-8  示好-8  柯則-8  逼供-8  抹煞-8  十五個-8
[7 to 7]: 內傳-7  則問-7  關會-7  次行-7  文陳-7  相助-7  感佩-7  發源地-7  建橋-7  保期-7
[6 to 6]: 場加-8  店位-8  會保-8  手提式-8  售武-8  強版-8  職前-8  瑞與-8  與化-8  個創-8
[6 to 6]: 跟柯-7  原籍-7  巴車尾-7  銀行行長-7  千斤-7  法制委-7  針對管-7  軍現-7  將給-7  新用-7
[6 to 6]: 當發現-6  地盡-6  經帶-6  海為-6  勞餐廳-6  動派-6  長疑-6  後聲稱-6  第五名-6  初選民-6
[5 to 5]: 悅-9  聯合國總部-9  檢萬-9  小廚-9  靈實-9  性伴-9  承載能力-9  安倍將-9  三鶯線-9  關永雄-9
[5 to 5]: 灣郊-6  媒稱-6  社台-6  華富邨-6  富邨-6  政經局-6  時動-6  國安帶-6  眾志成-6  指任-6
[5 to 5]: 應單-5  稱律-5  經敷-5  時欲-5  囚者-5  菲律賓人-5  軍空-5  航電-5  舍職員-5  波羅-5
[5 to 5]: 咎於-5  借故-5  水狀-5  聰今-5  會約人-5  大會堂獲-5  些微-5  生命週期-5  模板-5  們玩-5
[5 to 5]: 陳同佳-5  大學部-5  並收-5  某部-5  時衝-5  模槍擊-5  這筆錢-5  入月-5  亞利桑那-5  袖恤衫-5
[4 to 4]: 膠蓋-6  南進-6  於交-6  許景-6  與煙-6  獨無-6  胡同-6  薑-6  線圈-6  藥用-6
[4 to 4]: 兩團-5  史書-5  達聖-5  對亞-5  會銘-5  筆墨-5  總監林-5  囚周-5  成業街-5  甚麽-5
[4 to 4]: 斑紋-4  一點八-4  心心-4  游向-4  美仙-4  中國海關-4  日掩-4  李茵-4  與市民-4  學約-4
[4 to 4]: 周周-4  來店-4  老神在在-4  顧全大局-4  時聘請-4  德克薩斯州-4  無限量-4  著高-4  保護部-4  礎設-4
[4 to 4]: 車內發-4  合作奠-4  大範-4  併為-4  損失約-4  年再-4  蔡明忠-4  當年度-4  興違-4  興今-4
[4 to 4]: 寶湖-4  淨重量-4  經接-4  當中有成-4  報問題-4  非尋-4  找事實-4  佔中期-4  間因-4  誹謗法-4
[4 to 4]: 大器-4  員執法-4  推託-4  大陣-4  揚為-4  下度-4  較窄-4  足不出戶-4  線職員-4  額外開-4
[3 to 3]: 洪俊毅-5  納福特-5  龍咁-5  則移-5  為臺灣-5  人像-5  隨該-5  招商引資-5  六弟-5  追加預算-5
[3 to 3]: 十五億元-4  軍事區-4  金正淑-4  入境簽證-4  媒央-4  埔仔村-4  幫匯豐-4  禦寒-4  署內-4  厚厚的-4
[3 to 3]: 談兩-4  史館-4  巴士載-4  此子-4  港層-4  不學-4  廟內-4  文昌帝君-4  張少春-4  排滿-4
[3 to 3]: 乳頭-3  盡濕-3  應可-3  貿易機制-3  為荷-3  關廣-3  大學土木-3  液體罪-3  尖沙嘴帝-3  傑林-3
[3 to 3]: 截查架-3  員陳克勤指-3  卡人-3  將目-3  高質感-3  還送-3  張卡-3  卡則-3  積點-3  標準時-3
[3 to 3]: 語源-3  僱名-3  日考-3  慮時-3  除夕-3  門釘-3  槍牌-3  產執-3  士並-3  士車匙-3
[3 to 3]: 關北角-3  配予-3  信申-3  澤祥街-3  榮德-3  暫離-3  自行鬆-3  離市-3  陸事-3  參賽者性-3
[3 to 3]: 金來-3  書還-3  區理-3  適地-3  喬木-3  於園-3  馬任-3  職禮-3  則限-3  樣行-3
[3 to 3]: 終較-3  軟身-3  焦油-3  正審-3  自行尋-3  對婦-3  大有裨益-3  硬頸-3  大學開-3  駕駛路-3
[3 to 3]: 自願地-3  承認未有-3  有理有節-3  自行設計-3  窮凶-3  極惡-3  去日-3  見官-3  別關-3  係見-3
[3 to 3]: 獲控方-3  淌血-3  漲潮-3  手牽手-3  傻嘅-3  政治信仰-3  岐-3  連天-3  倉皇-3  這無法-3

